Category,Subcategory,Action
Recreation Actions,Watching TV,Fast forwarding ads
Recreation Actions,Playing Games,Strategy games
Recreation Actions,Playing Games,Card games
Recreation Actions,Playing Games,Video games
Recreation Actions,Playing Games,Sports games
Home & Cleaning Actions,Vacuuming,Cleaning carpets
Home & Cleaning Actions,Vacuuming,Reaching corners
Home & Cleaning Actions,Vacuuming,Emptying canister
Home & Cleaning Actions,Vacuuming,Adjusting settings
Home & Cleaning Actions,Cooking,Chopping vegetables
Home & Cleaning Actions,Cooking,Stirring sauces
Home & Cleaning Actions,Cooking,Baking desserts
Home & Cleaning Actions,Cooking,Frying eggs
